Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Streams,Popularity
178626,4,0.78,0.321,1,-10.747,0,0.372,0.562,0,0.0881,0.315,139.961,2307549783,50
214840,4,0.686,0.702,7,-5.325,0,0.0455,0.00637,4.46E-05,0.204,0.29,129.948,918831724,76
235946,3,0.664,0.602,4,-5.369,0,0.0412,0.0529,0,0.356,0.289,134.049,1161277374,70
197546,4,0.602,0.658,1,-5.934,1,0.0558,0.0233,6.00E-05,0.237,0.268,145.031,1079613822,75
244453,4,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75E-06,0.145,0.37,107.853,1405366846,71
205920,4,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11E-06,0.294,0.354,121.993,1347657126,75
197266,4,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65E-06,0.096,0.104,125.025,1512768552,82
172324,4,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,1463009803,79
226160,4,0.649,0.736,6,-5.84,0,0.23,0.0528,0,0.235,0.612,159.182,1453206366,66
207320,4,0.72,0.654,1,-5.634,1,0.0647,0.227,0,0.101,0.411,106.976,1904224158,78
250533,4,0.608,0.626,2,-4.773,1,0.301,0.597,2.16E-06,0.25,0.246,176.086,1481147942,76
205090,4,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22E-05,0.113,0.145,109.928,2021350367,77
210367,4,0.816,0.538,6,-6.354,0,0.0617,0.0142,0.000485,0.099,0.156,97.055,1338575170,75
295176,4,0.607,0.829,2,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172,882092129,74
192024,4,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78E-06,0.101,0.526,91.976,1006494347,69
172127,4,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54E-05,0.344,0.453,97.014,754895609,71
232058,4,0.524,0.643,9,-6.055,1,0.0297,0.451,0,0.221,0.397,135.962,276880096,75
182465,4,0.584,0.68,6,-6.781,1,0.0351,0.285,0,0.0901,0.55,146.093,,64
178723,4,0.57,0.67,1,-6.519,1,0.0274,0.426,0,0.108,0.593,140.924,245253959,77
207540,3,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,438100360,79
162352,4,0.502,0.877,7,-2.847,1,0.0746,0.0129,0,0.244,0.696,170.123,,55
210869,4,0.509,0.803,7,-5.543,1,0.0272,0.0772,0,0.133,0.373,138.022,,53
179294,4,0.431,0.837,9,-5.067,1,0.0432,0.259,0,0.0879,0.648,170.041,210827784,80
195519,4,0.63,0.694,11,-6.257,0,0.0253,0.00281,0,0.0719,0.216,97.005,679731701,70
163870,4,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,1399154240,71
239991,4,0.704,0.722,0,-3.524,1,0.045,0.0522,0,0.0645,0.675,122.094,146042869,53
160871,4,0.659,0.877,11,-5.089,0,0.0288,0.0878,0,0.094,0.471,119.992,121108611,51
187787,4,0.466,0.659,2,-6.077,1,0.115,0.00282,0,0.273,0.36,186.169,179657867,52
158258,4,0.394,0.718,7,-6.336,1,0.0607,0.706,0,0.116,0.247,151.912,,54
236133,4,0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,212570309,79
323480,4,0.583,0.621,5,-6.902,0,0.0479,0.00972,0.00106,0.181,0.399,140.036,616995696,71
206080,4,0.896,0.621,5,-6.857,0,0.237,0.00532,0,0.196,0.818,121.966,322486572,68
261640,4,0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,,72
